player_id,player_name,mkc_id,country_code,fc,is_host_banned,is_chat_restricted,mmr,base_mmr,peak_mmr,rank_id,times_strike_limit_reached,twitch_link,mogi_media_message_id
168929002042425345,Madgasket,54048,CA,,0,0,,,,846497627508047872,0,,,
170153739619926017,nicolocom,2726,IT,,0,0,,,,846497627508047872,0,,,
170657969820794881,zeta,1070,US,,0,0,5004,5064,5004,794262925098745858,0,,,
170927793742282752,Elisa,4682,NL,,0,0,,,,846497627508047872,0,,,
170933819942240257,Spyrosh,9264,BR,,0,0,937,1000,937,970028275789365368,0,,,
171503216897294337,ugi,51537,AU,,0,0,1339,2250,2321,970028275789365368,0,,,
173927134635491328,Smiggy,54787,US,,0,0,,,,846497627508047872,0,,,
174583991591108609,jk,2496,US,,0,0,2160,2160,,794263467581374524,0,,,
174899436323864576,Haupi,289,DE,,0,0,4045,3728,4079,794262959084797984,0,,,
175021987134046218,Leon,191,GB,,0,0,5172,5311,5399,794262925098745858,0,,,
175199398685310976,DEMERN,41118,AU,,0,0,,,,846497627508047872,0,,,
179052059297841152,christianyoung,25311,US,,0,0,,,,846497627508047872,0,,,
180029556634157056,Bilal,21826,GB,,0,0,2232,2232,,794263467581374524,0,,,
180070755415883776,Technical,6764,US,4139-9521-7609,0,0,10131,7129,10131,794262638518730772,0,TechnicalJL,,
180114074414219266,x4,34,US,5271-9079-2228,0,0,10385,9178,10575,794262638518730772,0,,,
180194043622457344,Dayem,74,FR,,0,0,5090,5090,,794262925098745858,0,,,
180826039818256384,Lylac-WSG,53193,US,,0,0,2217,2250,2217,794263467581374524,0,,,
181146168187682816,Nothing-at-All,51392,GB,,0,0,874,1000,963,970028275789365368,0,,,
181151045513117696,Kil,259,FR,,0,0,2339,2339,,794263467581374524,0,,,
183197386519216129,fredWAZZ,56228,DE,,0,0,,,,846497627508047872,0,,,
183310215544832000,Maxim,362,DE,,0,0,3595,3595,,794262959084797984,0,,,
183852316795994122,Kayne,1610,DE,,0,0,3585,3585,,794262959084797984,0,,,
184688618202202112,Faithium,44936,FR,,0,0,856,1000,856,970028275789365368,0,,,
185914891301945344,KINGZETA,54642,BR,,0,0,,,,846497627508047872,0,,,
186394707444629506,WiiMik3,12696,US,,0,0,,,,846497627508047872,0,,,
186867069210329088,Berglund,45880,SE,,0,0,,,,846497627508047872,0,,,
187137231826190337,Fay.,3872,FR,,0,0,2174,2250,2174,794263467581374524,0,,,
187248392416526336,PillowHands,56252,US,,0,0,967,1000,967,970028275789365368,0,,,
187680501354594304,Lef,3825,GB,,0,0,2603,2250,2603,794263467581374524,0,,,
187728895452119040,Arquemacho,10069,CO,,0,0,,,,846497627508047872,0,,,
187955455270715392,cy,534,ES,,0,0,4073,3750,4073,794262959084797984,0,,,
188884941654720513,Eru,5606,JP,,0,0,4758,4758,,794262925098745858,0,,,
189095191355850752,xViiRuS,11443,GB,,0,0,,,,846497627508047872,0,,,
189458079274762240,Sting,363,GB,,0,0,5324,5599,5324,794262925098745858,0,,,
190505810999246849,macOS-Monterey,40,US,,0,0,4286,4581,4505,794262959084797984,0,,,
192695400497545217,majin,190,FR,,0,0,7028,3750,7431,794262916627038258,0,,,
192979759167176704,Erickfree,982,US,1167-3855-0995,0,0,8451,7300,9125,794262898423627857,0,erickfree1,,
194550979914366976,ConnieChristmas,54062,US,,0,0,,,,846497627508047872,0,,,
195619963845738496,Joeri,8789,NL,,0,0,3272,3272,,794262959084797984,0,,,
195662433585463297,Tonyx,14112,US,,0,0,3657,3750,4049,794262959084797984,0,,,
198776556078891008,Naranjitroll,51350,ES,,0,0,625,1000,859,970028275789365368,0,,,
199304751043575808,Albi,33628,SE,,0,0,3956,3750,3956,794262959084797984,0,,,
199431336144928768,diarkia124,46963,US,,0,0,,,,846497627508047872,0,,,
200485101153288193,Aplex,332,DE,,0,0,4581,4797,4681,794262925098745858,0,,,
200692803750199296,Zabor,42861,PL,,0,0,,,,846497627508047872,0,,,
201736640106856449,LGgame,50472,ES,,0,0,,,,846497627508047872,0,,,
203198625461960705,Martastic,16887,ES,,0,0,,,,846497627508047872,0,,,
203210870728294401,Dragonod,54261,DE,,0,0,,,,846497627508047872,0,,,
203449134974238720,Ziner,2789,FR,,0,0,5019,5352,5285,794262925098745858,0,,,
205082119913996288,Seifuku Kohaku,41789,US,,0,0,,,,846497627508047872,0,,,
206184523958976512,Cuky,1528,IT,,0,0,3516,3516,,794262959084797984,0,,,
206787569361354753,Deci,1911,US,,0,0,4576,4452,4641,794262925098745858,0,,,
207999438034042880,TROY,1270,US,,0,0,4000,3750,4000,794262959084797984,0,,,
208092435845218304,Pats,15326,US,,0,0,1541,1558,1704,794263467581374524,0,,,
208300219815690241,Traviss1,39712,US,,0,0,13,1000,781,970028275789365368,0,,,
208668182867738624,leo.,23420,US,,0,0,2009,2041,2009,794263467581374524,0,,,
209000152973836288,AwesometheII,14888,US,,0,0,1759,1759,,794263467581374524,0,,,
209006928272162816,False-King,19383,US,,0,0,1204,1602,1697,970028275789365368,0,,,
209797255203520522,Toad,1790,FR,,0,0,4178,4436,4580,794262959084797984,0,,,
210677313531019264,Crabby-jacob,41889,FR,,0,0,769,1000,864,970028275789365368,0,,,
210728276417708032,Yasaka,38027,DE,,0,0,,,,846497627508047872,0,,,
210934944510246913,dynamitenate,54196,US,,0,0,,,,846497627508047872,0,,,
211222823182663682,zpopel,1802,AT,,0,0,2521,2521,,794263467581374524,0,,,
211941831930281984,melontaste,4322,DO,,0,0,2893,3240,3160,794263467581374524,0,,,
214149077317713922,Riku,25742,FI,,0,0,956,956,,970028275789365368,0,,,
214338578111660034,kjgd,27538,DE,,0,0,1927,2287,2126,794263467581374524,0,,,
214437710998405120,RGames,53646,NL,,0,0,925,1000,925,970028275789365368,0,,,
214466175420071937,Hermes,1585,US,,0,0,1058,1058,,970028275789365368,0,,,
215003421655171073,Pottary,21245,DE,,0,0,3489,3109,3491,794262959084797984,0,,,
215586702633336833,sinic,6004,US,,0,0,5473,5275,5952,794262925098745858,0,,,
217026213368037376,Kyorai,2930,FR,,0,0,3605,3605,,794262959084797984,0,,,
217322518384476163,ELAINA,2258,JP,,0,0,4394,4394,,794262959084797984,0,,,
218215779970187264,JaSon,448,US,,0,0,2328,2328,,794263467581374524,0,,,
218327531722506240,Dylan-718,252,US,,0,0,3157,3157,,794262959084797984,0,,,
219182010084622337,Niko,54046,US,,0,0,,,,846497627508047872,0,,,
219494120010416128,nicemogitaste,13005,DE,,0,0,4688,2987,5513,794262925098745858,0,,,
219663730588254208,Nato,6,US,,0,0,,,,846497627508047872,0,,,
220407933769482241,Plasma,21237,US,,0,0,2373,2373,,794263467581374524,0,,,
220699175229194241,Danny-Fathom,5903,US,,0,0,3163,3349,3163,794262959084797984,0,,,
221245125072912384,Fernando-Moritz,44155,BR,,0,0,864,1000,864,970028275789365368,0,,,
223753555209748480,foh,51815,AU,,0,0,431,1000,910,970028275789365368,0,,,
224187362798862336,carter.,123,GB,,0,0,,,,846497627508047872,0,,,
224485323655086080,Kevix,7652,FR,,0,0,,,,846497627508047872,0,,,
224591602163646464,Pii,3598,NO,,0,0,3701,3704,3747,794262959084797984,0,,,
224676503151968257,Brandon,94,US,,0,0,6269,6607,6501,794262916627038258,0,,,
225053327614803968,Deshawn-Co.-IV,255,CR,,0,0,7062,6269,7062,794262916627038258,0,,,
226660658014322690,Siboire,53500,CA,,0,0,,,,846497627508047872,0,,,
229564162655649792,Nyx,76,FR,,0,0,3279,3389,3388,794262959084797984,0,,,
230273389640679424,K4I,1282,JP,,0,0,6655,6655,,794262916627038258,0,,,
231093962180526081,Guyal,4493,FR,,0,0,3525,3525,,794262959084797984,0,,,
231557941147205632,Tris,54710,US,,0,0,,,,846497627508047872,0,,,
231684141660372992,Soren,412,FR,,0,0,3744,3744,,794262959084797984,0,,,
232308673035108363,NUSEVV,18854,US,,0,0,914,1000,914,970028275789365368,0,,,
232843253546745856,Flooidity,49239,AU,,0,0,,,,846497627508047872,0,,,
232919411667894274,3-UP,53,DE,,0,0,3273,4493,4485,794262959084797984,0,,,
234120618532929537,Eli,18014,US,,0,0,2261,2261,,794263467581374524,0,,,
234504334514061312,Equi,53853,US,,0,0,,,,846497627508047872,0,,,
234722871287611392,Frantzy,7990,FR,,0,0,1976,2250,2126,794263467581374524,0,,,
235201844538769408,Paino,40327,US,,0,0,1873,2250,2114,794263467581374524,0,,,
235776171986518026,IceHawk,7033,NL,,0,0,3721,3721,,794262959084797984,0,,,
242078433633370125,DuHastMich,51379,US,,0,0,,,,846497627508047872,0,,,
243364168252653569,smelvin,55214,GB,,0,0,758,1000,929,970028275789365368,0,,,
245175230933368832,qwacks,37176,US,,0,0,1901,2250,2215,794263467581374524,0,,,
245435193853214722,Gravytrain,44378,US,,0,0,934,1000,934,970028275789365368,0,,,
247142918685458433,SuperFX,308,US,,0,0,,,,846497627508047872,0,,,
248173504921468959,Toad_,39098,FR,,0,0,4436,4436,,794262959084797984,0,,,
248983255620124672,Tagnonfury,4235,FR,,0,0,2069,2160,2069,794263467581374524,0,,,
250131340287148032,LilYungoosOfEvil,105,US,,0,0,3287,3287,,794262959084797984,0,,,
250405806506377217,BIERRO,15806,FR,,0,0,3586,3586,,794262959084797984,0,,,
250667687884226560,pizza-man-saler,14656,US,,0,0,,,,846497627508047872,0,,,
251362855314653184,Thomas,712,BE,,0,0,6759,6167,6759,794262916627038258,0,,,
251790711849091073,En,12339,CA,,0,0,2201,2201,,794263467581374524,0,,,
252113307190820864,Tony85,10929,US,,0,0,,,,846497627508047872,0,,,
252443068983279617,unbanpom2tere,4633,FR,,0,0,878,1000,902,970028275789365368,0,,,
253223409935319040,dan,1394,FR,,0,0,3579,3711,3579,794262959084797984,0,,,
254000605226336256,Fox04k,244,IE,,0,0,3249,3403,3249,794262959084797984,0,,,
255023970657632257,Dylan-49,15490,FR,,0,0,1806,1806,,794263467581374524,0,,,
256160148542717952,foerbs,24415,DE,,0,0,2188,2250,2188,794263467581374524,0,,,
256337085059825664,firasu,45055,JP,,0,0,875,1000,875,970028275789365368,0,,,
256557889538359297,Drix,23816,US,,0,0,1545,1199,1823,794263467581374524,0,,,
257332011075764224,Zquka,24058,US,,0,0,,,,846497627508047872,0,,,
257998194766512129,Flowx,98,FR,,0,0,3490,3490,,794262959084797984,0,,,
258230452630847498,Tanguy,17471,FR,,0,0,2331,2250,2331,794263467581374524,0,,,
259277734688194560,nonos,1885,FR,,0,0,,,,846497627508047872,0,,,
259341923851042816,Euanfanboy,18672,DE,,0,0,3126,5013,4938,794262959084797984,0,,,
260234358093250571,Luxrod,41406,US,,0,0,,,,846497627508047872,0,,,
260576143873146883,Jerlortie4,53936,CA,,0,0,1815,2250,2160,794263467581374524,0,,,
261572204150390795,shoggs,44950,GB,,0,0,,,,846497627508047872,0,,,
262089025043562506,R1l3y,17317,US,,0,0,2292,2292,,794263467581374524,0,,,
264140665556828160,PrinceBlanc,55944,FR,,0,0,2010,2250,2149,794263467581374524,0,,,
264199472496508928,Walksacred,19471,FR,,0,0,2073,2073,,794263467581374524,0,,,
264974487529848844,Onion,8873,US,,0,0,3464,3560,3464,794262959084797984,0,,,
265376293544001537,MatthewG371,55414,AU,,0,0,961,1000,1003,970028275789365368,0,,,
266440581041881088,Yean,15143,AU,,0,0,,,,846497627508047872,0,,,
